question,query
"�Qu� vendedor ha vendido la mayor cantidad de productos en el �ltimo a�o, y cu�l es la cantidad total vendida por ese vendedor?'","SELECT
    s.seller_name,
    SUM(st.quantity) AS total_quantity_sold
  FROM
    `sales_sample_db.sales_transaction` AS st
    INNER JOIN `sales_sample_db.sellers` AS s ON st.seller_id = s.seller_id
  WHERE st.transaction_date >= DATE_SUB(CURRENT_DATE(), INTERVAL 1 YEAR)
  GROUP BY 1
  ORDER BY
    total_quantity_sold DESC
  LIMIT 1;'"
"�Cu�l es el precio promedio de los productos vendidos por cada vendedor, y c�mo se compara con el precio promedio general de todos los productos?'","WITH SellerAveragePrices AS (
  SELECT
      s.seller_name,
      AVG(p.product_price) AS average_product_price
    FROM
      `sales_sample_db.sellers` AS s
      INNER JOIN `sales_sample_db.sales_transaction` AS st ON s.seller_id = st.seller_id
      INNER JOIN `sales_sample_db.products` AS p ON st.product_id = p.product_id
    GROUP BY 1
), OverallAveragePrice AS (
  SELECT
      AVG(product_price) AS overall_average_price
    FROM
      `sales_sample_db.products`
)
SELECT
    sap.seller_name,
    sap.average_product_price,
    oap.overall_average_price,
    sap.average_product_price - oap.overall_average_price AS price_difference
  FROM
    SellerAveragePrices AS sap
    CROSS JOIN OverallAveragePrice AS oap
  ORDER BY
    sap.seller_name;'"
"�Qu� categor�a de producto tiene el ingreso promedio de ventas m�s alto por transacci�n, y cu�l es el ingreso promedio para esa categor�a?�Cu�l es el precio promedio de los productos vendidos por cada vendedor, y c�mo se compara con el precio promedio general de todos los productos?'","SELECT
    p.product_category,
    AVG(st.quantity * p.product_price) AS average_revenue_per_transaction
  FROM
    `sales_sample_db.products` AS p
    INNER JOIN `sales_sample_db.sales_transaction` AS st ON p.product_id = st.product_id
  GROUP BY 1
  ORDER BY
    average_revenue_per_transaction DESC
  LIMIT 1;WITH SellerAveragePrices AS (
  SELECT
      s.seller_name,
      AVG(p.product_price) AS average_product_price
    FROM
      `sales_sample_db.sellers` AS s
      INNER JOIN `sales_sample_db.sales_transaction` AS st ON s.seller_id = st.seller_id
      INNER JOIN `sales_sample_db.products` AS p ON st.product_id = p.product_id
    GROUP BY 1
), OverallAveragePrice AS (
  SELECT
      AVG(product_price) AS overall_average_price
    FROM
      `sales_sample_db.products`
)
SELECT
    sap.seller_name,
    sap.average_product_price,
    oap.overall_average_price,
    sap.average_product_price - oap.overall_average_price AS price_difference
  FROM
    SellerAveragePrices AS sap
    CROSS JOIN OverallAveragePrice AS oap
  ORDER BY
    sap.seller_name;'"
" �Cu�l es el total acumulado de ingresos por ventas para cada producto a lo largo del tiempo, y cu�l es el ingreso promedio por ventas para cada producto en los �ltimos 3 meses?'","WITH ProductSales AS (
  SELECT
      p.product_name,
      st.transaction_date,
      st.quantity * p.product_price AS revenue
    FROM
      `sales_sample_db.products` AS p
      INNER JOIN `sales_sample_db.sales_transaction` AS st ON p.product_id = st.product_id
)
SELECT
    product_name,
    transaction_date,
    revenue,
    SUM(revenue) OVER (PARTITION BY product_name ORDER BY transaction_date) AS running_total_revenue,
    AVG(revenue) OVER (PARTITION BY product_name ORDER BY transaction_date ROWS BETWEEN 3 PRECEDING AND CURRENT ROW) AS average_revenue_last_3_months
  FROM
    ProductSales
  ORDER BY
    product_name,
    transaction_date;'"
"�Qu� productos han sido vendidos por la mayor cantidad de vendedores, y cu�ntos vendedores han vendido cada uno de esos productos?'","SELECT
    p.product_name,
    COUNT(DISTINCT st.seller_id) AS seller_count
  FROM
    `sales_sample_db.products` AS p
    INNER JOIN `sales_sample_db.sales_transaction` AS st ON p.product_id = st.product_id
  GROUP BY 1
  ORDER BY
    seller_count DESC;'"
"�Cu�l es la cantidad promedio de productos vendidos por transacci�n para cada vendedor, y qu� vendedor tiene la cantidad promedio m�s alta vendida por transacci�n?'","SELECT
    s.seller_name,
    AVG(st.quantity) AS average_quantity_per_transaction
  FROM
    `sales_sample_db.sellers` AS s
    INNER JOIN `sales_sample_db.sales_transaction` AS st ON s.seller_id = st.seller_id
  GROUP BY 1
  ORDER BY'"
�Cu�l es el porcentaje de productos en stock para cada producto?',"SELECT
    p.product_name,
    CASE
      WHEN p.in_stock THEN 100
      ELSE 0
    END AS percentage_in_stock
  FROM
    `sales_sample_db.products` AS p
  ORDER BY
    p.product_name;SELECT
    s.seller_name,
    AVG(st.quantity) AS average_quantity_per_transaction
  FROM
    `sales_sample_db.sellers` AS s
    INNER JOIN `sales_sample_db.sales_transaction` AS st ON s.seller_id = st.seller_id
  GROUP BY 1
  ORDER BY'"
"�Cu�l es el producto m�s vendido en cada mes, y cu�l es la cantidad total vendida de ese producto en cada mes?�Cu�l es el porcentaje de productos en stock para cada producto?'","WITH MonthlySales AS (
  SELECT
      p.product_name,
      EXTRACT(MONTH FROM st.transaction_date) AS order_month,
      SUM(st.quantity) AS total_quantity_sold
    FROM
      `sales_sample_db.products` AS p
      INNER JOIN `sales_sample_db.sales_transaction` AS st ON p.product_id = st.product_id
    GROUP BY 1, 2
)
SELECT
    order_month,
    product_name,
    total_quantity_sold,
    ROW_NUMBER() OVER (PARTITION BY order_month ORDER BY total_quantity_sold DESC) AS rank
  FROM
    MonthlySales
  ORDER BY
    order_month,
    rank;'"
" �Qu� vendedores han vendido productos con un descuento promedio mayor al 10%, y cu�l es el descuento promedio para cada uno de esos vendedores?�Cu�l es el producto m�s vendido en cada mes, y cu�l es la cantidad total vendida de ese producto en cada mes?�Cu�l es el porcentaje de productos en stock para cada producto?'","SELECT
    s.seller_name,
    AVG(od.discount_percentage) AS average_discount_percentage
  FROM
    `sales_sample_db.sellers` AS s
    INNER JOIN `sales_sample_db.sales_transaction` AS st ON s.seller_id = st.seller_id
    INNER JOIN `sales_sample_db.products` AS p ON st.product_id = p.product_id
    INNER JOIN `order_details` AS od ON p.product_id = od.product_id
  GROUP BY 1
  HAVING AVG(od.discount_percentage) > 0.1
  ORDER BY
    average_discount_percentage DESC;WITH MonthlySales AS (
  SELECT
      p.product_name,
      EXTRACT(MONTH FROM st.transaction_date) AS order_month,
      SUM(st.quantity) AS total_quantity_sold
    FROM
      `sales_sample_db.products` AS p
      INNER JOIN `sales_sample_db.sales_transaction` AS st ON p.product_id = st.product_id
    GROUP BY 1, 2
)
SELECT
    order_month,
    product_name,
    total_quantity_sold,
    ROW_NUMBER() OVER (PARTITION BY order_month ORDER BY total_quantity_sold DESC) AS rank
  FROM
    MonthlySales
  ORDER BY
    order_month,
    rank;'"
"Cu�l es el producto con el mayor n�mero de transacciones en el �ltimo trimestre, y cu�ntas transacciones ha tenido ese producto?'","SELECT
    p.product_name,
    COUNT(st.transaction_id) AS transaction_count
  FROM
    `sales_sample_db.products` AS p
    INNER JOIN `sales_sample_db.sales_transaction` AS st ON p.product_id = st.product_id
  WHERE st.transaction_date >= DATE_SUB(CURRENT_DATE(), INTERVAL 3 MONTH)
  GROUP BY 1
  ORDER BY
    transaction_count DESC
  LIMIT 1;'"
